2606:4700:4700::1111 : [3], 64 bytes, 6.69 ms (6.70 avg, 0% loss)
8.20.247.20          : [3], 64 bytes, 74.6 ms (74.5 avg, 0% loss)
180.76.76.76         : [3], 64 bytes, 170 ms (170 avg, 0% loss)
114.114.114.114      : [3], 64 bytes, 165 ms (166 avg, 0% loss)
77.88.8.8            : [3], 64 bytes, 287 ms (288 avg, 0% loss)
77.88.8.88           : [3], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [3], 64 bytes, 301 ms (302 avg, 0% loss)
77.88.8.2            : [3], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [3], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [3], 64 bytes, 287 ms (288 avg, 0% loss)
8.8.8.8              : [4], 64 bytes, 13.0 ms (11.0 avg, 0% loss)
8.8.4.4              : [4], 64 bytes, 11.6 ms (7.44 avg, 0% loss)
208.67.220.123       : [4], 64 bytes, 6.70 ms (6.87 avg, 0% loss)
216.146.35.35        : [3], timed out (NaN avg, 100% loss)
216.146.36.36        : [3], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [4], 64 bytes, 5.95 ms (6.92 avg, 0% loss)
80.80.80.80          : [4], 64 bytes, 58.4 ms (59.2 avg, 0% loss)
2001:4860:4860::8844 : [4], 64 bytes, 7.64 ms (6.54 avg, 0% loss)
80.80.81.81          : [4], 64 bytes, 57.5 ms (57.8 avg, 0% loss)
2620:119:35::35      : [4], 64 bytes, 6.49 ms (7.28 avg, 0% loss)
2620:fe::fe          : [4], 64 bytes, 5.44 ms (6.06 avg, 0% loss)
2a10:50c0::ad1:ff    : [4], 64 bytes, 6.61 ms (6.54 avg, 0% loss)
8.26.56.26           : [4], 64 bytes, 74.4 ms (73.7 avg, 0% loss)
2606:4700:4700::1111 : [4], 64 bytes, 6.46 ms (6.65 avg, 0% loss)
8.20.247.20          : [4], 64 bytes, 74.0 ms (74.4 avg, 0% loss)
180.76.76.76         : [4], 64 bytes, 169 ms (170 avg, 0% loss)
114.114.114.114      : [4], 64 bytes, 165 ms (166 avg, 0% loss)
77.88.8.8            : [4], 64 bytes, 287 ms (287 avg, 0% loss)
77.88.8.88           : [4], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [4], 64 bytes, 302 ms (302 avg, 0% loss)
77.88.8.2            : [4], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [4], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [4], 64 bytes, 288 ms (288 avg, 0% loss)
8.8.8.8              : [5], 64 bytes, 13.0 ms (11.4 avg, 0% loss)
8.8.4.4              : [5], 64 bytes, 6.36 ms (7.26 avg, 0% loss)
208.67.220.123       : [5], 64 bytes, 6.69 ms (6.84 avg, 0% loss)
216.146.35.35        : [4], timed out (NaN avg, 100% loss)
216.146.36.36        : [4], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [5], 64 bytes, 6.43 ms (6.84 avg, 0% loss)
80.80.80.80          : [5], 64 bytes, 58.7 ms (59.1 avg, 0% loss)
2001:4860:4860::8844 : [5], 64 bytes, 5.77 ms (6.41 avg, 0% loss)
80.80.81.81          : [5], 64 bytes, 57.5 ms (57.8 avg, 0% loss)
2620:119:35::35      : [5], 64 bytes, 6.88 ms (7.21 avg, 0% loss)
2620:fe::fe          : [5], 64 bytes, 5.40 ms (5.95 avg, 0% loss)
2a10:50c0::ad1:ff    : [5], 64 bytes, 5.32 ms (6.34 avg, 0% loss)
